ChamberNo,LoadDateJalali,LoadTime,LoadOperatorCode_FK,ProductCode_FK,UnloadDateJalali,UnloadTime,LoadOperatorCode_FK.1,loadFingerCount
10,1404-01-05,8:20:00,4,91000000,1404-01-09,15:40:00,5,8
30,1404-01-05,9:30:00,4,91000000,1404-01-09,16:50:00,5,8
18,1404-01-05,11:30:00,4,91000000,1404-01-09,18:10:00,5,8
12,1404-01-05,13:00:00,4,91000000,1404-01-09,6:00:00,4,8
24,1404-01-05,15:30:00,8,91000000,1404-01-09,6:15:00,4,8
5,1404-01-05,16:40:00,8,91000000,1404-01-09,7:40:00,4,8
20,1404-01-05,18:00:00,8,91000000,1404-01-09,9:10:00,4,8
8,1404-01-05,20:00:00,8,91000000,1404-01-09,10:20:00,4,8
32,1404-01-05,21:20:00,8,91000000,1404-01-09,12:00:00,4,8
26,1404-01-06,7:30:00,4,91000000,1404-01-09,14:00:00,5,8
16,1404-01-06,8:50:00,4,91000000,1404-01-09,15:20:00,5,8
13,1404-01-06,10:40:00,4,91000000,1404-01-09,16:50:00,5,8
2,1404-01-06,11:40:00,4,91000000,1404-01-09,18:10:00,4,8
31,1404-01-06,13:00:00,4,91000000,1404-01-14,6:00:00,4,8
7,1404-01-06,15:25:00,8,91000000,1404-01-14,6:30:00,4,8
19,1404-01-06,16:40:00,8,91000000,1404-01-14,8:20:00,4,8
27,1404-01-06,18:20:00,8,91000000,1404-01-14,10:00:00,4,8
11,1404-01-06,20:10:00,8,91000000,1404-01-14,11:15:00,4,8
3,1404-01-07,7:30:00,4,91000000,1404-01-16,6:00:00,4,8
21,1404-01-07,9:00:00,4,91000000,1404-01-16,7:00:00,4,8
9,1404-01-07,10:20:00,4,91000000,1404-01-16,8:30:00,4,8
25,1404-01-07,11:40:00,4,91000000,1404-01-16,10:30:00,4,8
28,1404-01-07,13:00:00,4,91000000,1404-01-16,12:03:00,4,8
22,1404-01-09,8:30:00,4,91000000,1404-01-16,14:00:00,4,8
14,1404-01-09,9:45:00,4,91000000,1404-01-16,15:00:00,4,8
4,1404-01-09,11:00:00,4,91000000,1404-01-16,16:10:00,4,8
29,1404-01-09,14:20:00,5,91000000,1404-01-16,17:20:00,4,8
23,1404-01-09,16:40:00,5,91000000,1404-01-17,6:00:00,4,8
17,1404-01-09,18:00:00,5,91000000,1404-01-17,7:00:00,4,8
15,1404-01-09,19:40:00,5,91000000,1404-01-17,8:30:00,4,8
6,1404-01-09,20:50:00,5,91000000,1404-01-17,11:20:00,8,8
10,1404-01-10,7:30:00,4,91000000,1404-01-17,14:00:00,8,8
30,1404-01-10,9:00:00,4,91000000,1404-01-17,14:45:00,8,8
18,1404-01-10,10:20:00,4,91000000,1404-01-17,16:10:00,4,8
12,1404-01-10,11:40:00,4,91000000,1404-01-18,6:00:00,4,8
24,1404-01-10,13:00:00,4,91000000,1404-01-18,6:40:00,4,8
5,1404-01-10,15:00:00,5,91000000,1404-01-18,10:50:00,4,8
20,1404-01-10,16:20:00,5,91000000,1404-01-18,7:50:00,4,8
8,1404-01-10,17:40:00,5,91000000,1404-01-18,9:40:00,4,8
32,1404-01-10,19:40:00,5,91000000,1404-01-19,6:00:00,4,8
26,1404-01-10,20:50:00,5,91000000,1404-01-19,6:50:00,4,8
16,1404-01-14,7:50:00,4,91000000,1404-01-19,8:00:00,4,8
13,1404-01-14,9:35:00,4,91000000,1404-01-19,9:40:00,4,8
2,1404-01-14,10:50:00,4,91000000,1404-01-19,11:00:00,4,8
31,1404-01-14,12:30:00,4,91000000,1404-01-20,6:00:00,4,8
7,1404-01-17,7:00:00,4,91000000,1404-01-20,6:50:00,4,8
19,1404-01-17,9:30:00,4,91000000,1404-01-20,8:00:00,4,8
27,1404-01-17,11:00:00,4,91000000,1404-01-20,9:40:00,4,8
11,1404-01-17,12:20:00,4,91000000,1404-01-20,11:00:00,4,8
29,1404-01-17,13:30:00,8,91000000,1404-01-20,12:10:00,8,8
23,1404-01-17,15:45:00,8,91000000,1404-01-20,14:00:00,8,8
17,1404-01-17,17:10:00,8,91000000,1404-01-20,15:20:00,4,8
15,1404-01-17,18:15:00,8,91000000,1404-01-21,6:00:00,4,8
6,1404-01-17,19:50:00,8,91000000,1404-01-21,6:30:00,4,8
10,1404-01-17,21:10:00,8,91000000,1404-01-21,8:00:00,8,8
14,1404-01-18,7:40:00,4,91000000,1404-01-23,8:15:00,8,8
18,1404-01-18,9:30:00,4,91000000,1404-01-23,6:00:00,8,8
4,1404-01-18,10:40:00,4,91000000,1404-01-23,6:45:00,8,8
30,1404-01-18,11:50:00,4,91000000,1404-01-23,10:00:00,8,8
12,1404-01-18,13:00:00,4,91000000,1404-01-23,11:25:00,5,8
24,1404-01-19,7:30:00,4,91000000,1404-01-24,6:00:00,8,8
1,1404-01-19,9:40:00,4,91000000,1404-01-24,7:20:00,8,8
20,1404-01-19,11:00:00,4,91000000,1404-01-24,8:40:00,8,8
