date_jalali,OperatorCode_FK,PushingTime_min,IncomingCarID,productName,GlazeType,temp_exhaust,temp_preheat01,temp_preheat02,temp_termostat,temp_Zone00,temp_Zone01,temp_Zone02,temp_Zone03,temp_Zone04,temp_Zone05,temp_Zone06,temp_Zone07,temp_rapid01,temp_Rapid02,temp_bottomA,temp_bottom01,temp_bottomB,temp_bottom02
1404.01.01,8,1:20:00,31,90000001,91000001,190,402,531,755,820,925,950,950,935,891,841,786,607,572,556,523,408,356
1404.01.01,8,3:30:00,71,90000001,91000001,190,404,530,754,820,925,950,950,935,890,840,781,606,572,558,522,409,357
1404.01.01,8,5:40:00,68,90000001,91000001,190,404,530,752,820,925,950,950,935,888,840,788,607,571,556,520,410,357
1404.01.01,4,7:50:00,11,90000001,91000001,190,404,529,760,820,925,950,950,935,888,838,780,606,572,558,522,414,362
1404.01.01,4,10:00:00,17,90000001,91000001,190,403,530,758,820,925,950,945,935,883,842,785,605,570,557,523,412,364
1404.01.01,4,12:10:00,51,90000001,91000001,190,405,531,758,820,925,950,950,935,880,841,784,604,571,556,520,411,363
1404.01.01,5,14:20:00,9,90000001,91000001,190,404,531,757,820,925,950,950,935,887,837,781,604,570,556,519,410,360
1404.01.01,5,16:30:00,46,90000001,91000001,190,404,531,753,820,925,950,950,933,882,841,782,605,570,555,520,407,360
1404.01.01,5,18:40:00,48,90000001,91000001,190,404,535,758,820,925,950,950,933,886,838,777,602,567,554,516,406,358
1404.01.01,5,20:50:00,73,90000001,91000001,190,406,935,757,820,935,950,950,935,888,839,780,603,566,554,518,408,356
1404.01.01,8,23:00:00,35,90000001,91000001,190,405,534,756,820,925,950,950,935,889,841,777,602,568,554,517,406,359
1404.01.02,8,1:10:00,8,90000001,91000001,190,40,532,755,820,925,950,950,935,893,840,778,603,568,552,516,405,356
1404.01.02,8,3:20:00,52,90000001,91000001,190,401,531,747,820,925,950,950,935,888,842,782,600,568,551,517,406,359
1404.01.02,8,5:30:00,28,90000001,91000001,190,400,533,747,820,925,950,950,935,886,840,787,598,568,552,517,406,361
1404.01.02,4,7:40:00,43,90000001,91000001,190,400,535,752,820,925,950,950,935,886,840,787,599,566,554,515,408,363
1404.01.02,4,9:50:00,20,90000001,91000001,190,401,534,745,820,925,950,950,935,888,841,787,599,565,554,515,408,360
1404.01.02,4,12:00:00,34,90000001,91000001,190,399,531,746,820,825,950,950,935,888,840,773,600,565,551,516,405,361
1404.01.02,8,14:10:00,47,90000001,91000001,190,401,532,747,820,925,950,950,935,887,840,783,600,565,548,513,401,361
1404.01.02,8,16:20:00,22,90000001,91000001,190,401,532,748,820,925,950,950,935,888,840,781,601,566,547,514,402,360
1404.01.02,8,18:30:00,6,90000001,91000001,190,403,543,749,820,925,950,950,935,889,841,779,600,566,550,511,403,357
1404.01.02,8,20:40:00,24,90000001,91000001,190,406,549,750,820,925,950,950,935,891,840,787,600,565,552,513,400,357
1404.01.02,5,22:50:00,4,90000001,91000001,190,408,552,751,820,925,950,950,935,890,841,782,601,566,552,515,400,359
1404.01.03,5,1:00:00,39,90000001,91000001,190,408,555,749,820,925,950,950,935,889,841,779,600,566,550,516,403,358
1404.01.03,5,3:10:00,27,90000001,91000001,190,410,559,757,820,925,950,950,935,887,840,787,599,565,554,515,405,356
1404.01.03,5,5:20:00,70,90000001,91000001,190,412,563,750,820,925,950,950,935,887,842,788,597,563,553,514,408,357
1404.01.03,4,7:30:00,62,90000001,91000001,190,415,565,774,820,925,950,950,935,886,840,787,601,564,552,512,409,354
1404.01.03,4,9:40:00,65,90000001,91000001,190,414,563,775,820,925,950,950,935,885,840,787,600,565,552,512,408,355
1404.01.03,4,11:50:00,76,90000001,91000001,190,413,562,774,820,925,950,950,935,884,841,787,601,565,551,511,409,354
1404.01.03,8,14:00:00,45,90000001,91000001,190,425,568,773,820,925,950,950,935,881,837,779,600,563,549,511,396,348
1404.01.03,8,16:10:00,59,90000001,91000001,190,427,576,774,820,925,950,950,935,882,839,777,600,564,548,510,396,349
1404.01.03,8,18:20:00,36,90000001,91000001,190,428,578,780,820,925,950,950,935,885,840,776,598,564,547,512,398,351
1404.01.03,8,20:30:00,58,90000001,91000001,190,431,577,776,820,925,950,950,935,885,839,783,597,563,548,511,399,351
1404.01.03,5,22:40:00,21,90000001,91000001,190,432,583,777,820,925,950,950,935,886,840,784,596,563,548,510,399,350
1404.01.04,5,0:50:00,33,90000001,91000001,190,432,584,776,820,925,950,950,935,889,838,786,597,562,547,512,401,355
1404.01.04,5,3:00:00,78,90000001,91000001,190,436,582,782,820,925,950,950,936,883,838,784,594,560,547,511,400,351
1404.01.04,5,5:10:00,13,90000001,91000001,190,433,588,783,820,925,950,950,935,885,833,781,595,560,546,509,400,350
1404.01.04,4,7:20:00,5,90000001,91000001,190,438,593,781,820,925,950,950,935,887,835,785,596,561,546,507,400,348
1404.01.04,4,9:30:00,79,90000001,91000001,190,437,593,781,820,925,950,950,935,887,835,784,595,561,545,506,401,347
1404.01.04,4,11:40:00,42,90000001,91000001,190,437,593,782,820,925,950,950,935,886,835,778,594,560,544,505,401,345
1404.01.04,4,13:50:00,77,90000001,91000001,190,438,514,781,820,925,950,950,935,885,836,778,591,560,545,504,395,345
1404.01.04,8,16:00:00,18,90000001,91000001,190,441,593,783,820,925,950,945,935,886,838,780,591,557,543,503,393,348
1404.01.04,8,18:10:00,74,90000001,91000001,190,441,593,787,820,925,950,948,935,887,838,783,592,558,544,504,394,349
1404.01.04,8,20:20:00,12,90000001,91000001,190,442,595,792,820,925,950,950,935,887,838,784,592,558,540,502,396,348
1404.01.04,5,22:30:00,37,90000001,91000001,190,444,596,789,820,925,950,950,935,884,837,780,593,558,541,501,392,344
1404.01.05,5,0:40:00,3,90000001,91000001,190,444,598,784,820,925,950,950,935,888,836,782,592,559,540,497,392,345
1404.01.05,5,2:50:00,15,90000001,91000001,190,445,599,787,820,925,950,950,935,888,835,783,593,560,541,500,390,346
1404.01.05,5,5:00:00,30,90000001,91000001,190,444,600,786,820,925,950,950,935,888,838,783,594,561,541,496,388,340
1404.01.05,4,7:10:00,14,90000001,91000001,190,445,596,786,820,925,950,950,935,888,837,784,594,562,543,497,387,341
1404.01.05,4,9:20:00,75,90000001,91000001,190,444,595,786,820,925,950,950,935,888,838,785,595,564,544,498,386,335
1404.01.05,4,11:30:00,41,90000001,91000001,190,443,594,787,820,925,950,950,935,890,837,790,597,565,543,498,385,335
1404.01.05,4,13:40:00,50,90000001,91000001,190,442,553,786,820,925,950,950,935,878,838,785,598,565,544,497,385,334
1404.01.05,8,15:50:00,67,90000001,91000001,190,446,560,785,820,925,950,950,935,880,839,788,596,567,544,494,383,331
1404.01.05,8,18:00:00,64,90000001,91000001,190,445,580,784,820,935,950,950,935,881,835,782,595,566,546,497,382,330
1404.01.05,8,20:10:00,72,90000001,91000001,190,446,585,786,820,925,950,950,935,883,838,777,595,567,547,496,380,328
1404.01.05,5,22:20:00,40,90000001,91000001,190,449,594,787,820,925,950,950,935,883,839,781,596,567,544,498,379,328
1404.01.06,5,0:30:00,23,90000001,91000001,190,448,594,784,820,925,950,950,936,886,839,786,596,568,545,499,380,329
1404.01.06,5,2:40:00,54,90000001,91000001,190,447,597,788,820,925,950,950,936,886,840,788,597,567,546,498,382,332
1404.01.06,5,4:50:00,38,90000001,91000001,190,443,595,787,820,925,950,950,935,887,839,785,598,568,545,498,383,328
1404.01.06,4,7:00:00,61,90000001,91000001,190,444,595,785,820,925,950,950,935,888,841,784,599,568,546,498,383,328
1404.01.06,4,9:10:00,80,90000001,91000001,190,444,594,784,820,925,950,950,935,888,841,783,599,568,546,499,383,327
1404.01.06,4,11:20:00,57,90000001,91000001,190,444,595,783,820,925,950,950,935,888,841,783,599,568,546,498,383,325
1404.01.06,4,13:30:00,11,90000001,91000001,190,440,585,782,820,925,950,950,935,887,841,785,599,573,550,499,381,331
1404.01.06,8,15:40:00,32,90000001,91000001,190,431,568,784,820,925,950,950,935,888,840,787,601,572,551,499,383,329
1404.01.06,8,17:50:00,17,90000001,91000001,190,430,567,783,820,925,950,950,935,888,840,790,600,573,550,499,378,330
1404.01.06,8,20:00:00,9,90000001,91000001,190,428,565,784,820,925,950,950,935,884,840,790,603,573,552,500,377,328
1404.01.06,5,22:10:00,48,90000001,91000001,190,430,562,778,820,925,950,950,935,887,838,791,603,575,552,500,379,326
1404.01.07,5,0:20:00,28,90000001,91000001,190,428,561,777,820,925,950,948,935,885,839,794,603,576,552,503,377,330
1404.01.07,5,2:30:00,35,90000001,91000001,190,421,560,775,820,925,950,950,934,892,843,755,603,575,555,506,388,334
1404.01.07,5,4:40:00,52,90000001,91000001,190,420,561,771,820,925,950,950,935,892,841,796,604,575,553,505,385,338
1404.01.07,4,6:50:00,46,90000001,91000001,190,420,561,773,820,925,950,950,935,890,841,795,605,575,553,506,386,334
1404.01.07,4,9:00:00,43,90000001,91000001,190,420,561,773,820,925,950,950,935,891,841,795,606,576,554,506,385,334
1404.01.07,4,11:10:00,29,90000001,91000001,190,410,560,752,820,925,950,950,935,890,841,794,607,577,553,506,385,335
1404.01.07,4,13:20:00,22,90000001,91000001,190,411,541,752,820,925,950,950,935,888,840,794,606,578,555,508,386,336
