SettingID,wagon_no,GlazeType,start_time,end_time,packages
1404010718,75,91000001,06:25:00,07:25:00,64
1404010718,41,91000001,07:25:00,08:05:00,64
1404010718,50,91000001,08:05:00,08:45:00,4
1404010712,50,91000001,08:05:00,08:45:00,60
1404010712,67,91000001,08:45:00,09:20:00,64
1404010712,64,91000001,09:20:00,09:55:00,6
1404010724,64,91000001,09:20:00,09:55:00,58
1404010724,72,91000001,09:55:00,10:45:00,60
1404010724,40,91000001,10:45:00,11:20:00,14
1404010905,40,91000001,10:45:00,11:20:00,50
1404010905,23,91000001,11:20:00,12:05:00,64
1404010905,54,91000001,12:05:00,12:45:00,22
1404010920,54,91000001,12:05:00,12:45:00,42
1404010920,38,91000001,12:45:00,14:35:00,64
1404010920,61,91000001,14:35:00,15:25:00,30
1404010932,61,91000001,14:35:00,15:25:00,34
1404010932,63,91000001,15:25:00,16:00:00,60
1404010932,80,91000001,16:00:00,16:35:00,42
1404010908,80,91000001,16:00:00,16:35:00,18
1404010908,57,91000001,16:35:00,17:10:00,62
1404010908,68,91000001,17:10:00,17:45:00,54
1404010926,68,91000001,17:10:00,17:45:00,10
1404010926,71,91000001,17:45:00,18:25:00,64
1404010926,31,91000001,18:25:00,19:40:00,62
1404010916,31,91000001,18:25:00,19:40:00,64
1404010916,69,91000001,19:40:00,20:15:00,64
1404010916,32,91000001,20:55:00,21:30:00,6
1404010913,32,91000001,20:55:00,21:30:00,57
1404010913,53,91000001,06:20:00,07:00:00,64
1404010913,25,91000001,07:00:00,07:35:00,14
1404010902,25,91000001,07:00:00,07:35:00,50
1404010902,51,91000001,07:35:00,08:05:00,64
1404010902,17,91000001,08:05:00,08:40:00,26
1404010931,17,91000001,08:05:00,08:40:00,38
1404010931,9,91000001,08:40:00,09:25:00,64
1404010931,28,91000001,09:25:00,10:10:00,34
1404011007,28,91000001,09:25:00,10:10:00,30
1404011007,35,91000001,10:10:00,10:45:00,64
1404011007,52,91000001,10:45:00,11:25:00,22
1404011019,52,91000001,10:45:00,11:25:00,42
1404011019,8,91000001,11:25:00,12:05:00,64
1404011019,73,91000001,12:05:00,12:45:00,10
1404011027,73,91000001,12:05:00,12:45:00,54
1404011027,46,91000001,12:45:00,14:25:00,64
1404011027,43,91000001,14:25:00,15:10:00,14
1404011011,43,91000001,14:25:00,15:10:00,50
1404011011,29,91000001,15:10:00,15:45:00,64
1404011003,20,91000001,15:45:00,16:25:00,64
1404011003,47,91000001,16:25:00,17:10:00,60
1404011021,47,91000001,16:25:00,17:10:00,4
1404011021,34,91000001,17:10:00,18:15:00,64
1404011021,49,91000001,18:25:00,19:30:00,64
1404011021,55,91000001,19:30:00,20:10:00,4
1404011009,55,91000001,19:30:00,20:10:00,58
1404011009,66,91000001,06:20:00,06:55:00,64
1404011009,70,91000001,06:55:00,07:30:00,16
1404011025,70,91000001,06:55:00,07:30:00,48
1404011025,10,91000001,07:30:00,08:10:00,64
1404011025,27,91000001,08:10:00,08:45:00,24
1404011028,27,91000001,08:10:00,08:45:00,40
1404011028,39,91000001,08:45:00,09:25:00,64
1404011028,4,91000001,09:25:00,10:05:00,16
1404011022,4,91000001,09:25:00,10:05:00,48
1404011022,24,91000001,10:05:00,10:45:00,64
1404011022,6,91000001,10:45:00,11:25:00,16
1404011414,6,91000001,10:45:00,11:25:00,48
1404011414,60,91000001,11:25:00,12:30:00,64
1404011414,16,91000001,12:30:00,13:15:00,6
1404011404,16,91000001,12:30:00,13:15:00,57
1404011404,56,91000001,06:15:00,07:00:00,64
1404011404,65,91000001,07:00:00,07:50:00,12
1404011429,65,91000001,07:00:00,07:50:00,52
1404011429,19,91000001,07:50:00,08:45:00,64
1404011429,7,91000001,08:45:00,09:25:00,24
1404011423,7,91000001,08:45:00,09:25:00,40
1404011423,13,91000001,09:25:00,10:00:00,64
1404011423,78,91000001,10:00:00,10:45:00,36
